epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,15348.4,0.90011,1.27771,1.31937,0.76457,0.67953,0.75015,0.61797,0.70071,1.08736,1.15275,6.39518e-05,6.39518e-05,6.39518e-05
70,16022.3,0.89328,1.26572,1.31401,0.76738,0.68066,0.75058,0.61832,0.70033,1.08666,1.15234,5.54691e-05,5.54691e-05,5.54691e-05
71,16616.7,0.72283,0.91678,1.24175,0.78064,0.6715,0.75077,0.61825,0.69952,1.08585,1.15182,4.76796e-05,4.76796e-05,4.76796e-05
72,17111.3,0.70838,0.8768,1.22962,0.7787,0.67274,0.75077,0.61824,0.69877,1.08504,1.15122,4.05953e-05,4.05953e-05,4.05953e-05
73,17610,0.70562,0.86291,1.22327,0.78616,0.6686,0.75101,0.61873,0.69869,1.08385,1.15309,3.4227e-05,3.4227e-05,3.4227e-05
74,18105.6,0.70559,0.85503,1.22008,0.78563,0.66874,0.7512,0.61906,0.69772,1.08268,1.15242,2.85847e-05,2.85847e-05,2.85847e-05
75,18602.2,0.7035,0.85496,1.22383,0.78533,0.66999,0.75222,0.61966,0.69715,1.08117,1.15185,2.36769e-05,2.36769e-05,2.36769e-05
76,19092.5,0.69707,0.8443,1.21502,0.78734,0.66905,0.75241,0.62015,0.69638,1.08026,1.15113,1.95113e-05,1.95113e-05,1.95113e-05
77,19584.1,0.69821,0.84351,1.21705,0.78956,0.66932,0.7527,0.6203,0.69562,1.07928,1.15042,1.60943e-05,1.60943e-05,1.60943e-05
78,20074.6,0.6991,0.84731,1.22015,0.78885,0.66932,0.75288,0.62081,0.69505,1.07815,1.14983,1.34311e-05,1.34311e-05,1.34311e-05
79,20562.2,0.69991,0.83116,1.22105,0.78998,0.66762,0.75297,0.62086,0.69454,1.07741,1.14939,1.15259e-05,1.15259e-05,1.15259e-05
80,21054,0.69764,0.83023,1.21682,0.78951,0.66759,0.75309,0.62112,0.69396,1.07675,1.14881,1.03816e-05,1.03816e-05,1.03816e-05
